"","Label","Expanded Label","OBO Ontology ID","Markers"
"1","cycling","cycling","[pancreatic endocrine cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0008024)","UBE2C, TOP2A, CDK1, BIRC5, PBK, CDKN3, MKI67, CDC20, CCNB2, CDCA3"
"2","immune","immune","[leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000738)","ACP5, APOE, HLA-DRA, TYROBP, LAPTM5, SDS, FCER1G, C1QC, C1QB, SRGN"
"3","quiescent_stellate","quiescent stellate","[pancreatic stellate cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002410)","RGS5, C11orf96, FABP4, CSRP2, IL24, ADIRF, NDUFA4L2, GPX3, IGFBP4, ESAM"
"4","endothelial","endothelial","[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115)","PLVAP, RGCC, ENG, PECAM1, ESM1, SERPINE1, CLDN5, STC1, MMP1, GNG11"
"5","schwann","schwann","[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573)","NGFR, CDH19, UCN2, SOX10, S100A1, PLP1, TSPAN11, WNT16, SOX2, TFAP2A"
"6","activated_stellate","activated stellate","[pancreatic stellate cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002410)","COL1A1, COL1A2, COL6A3, COL3A1, TIMP3, TIMP1, CTHRC1, SFRP2, BGN, LUM"
"7","epsilon","epsilon islet cell","[pancreatic epsilon cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005019)","BHMT, VSTM2L, PHGR1, TM4SF5, ANXA13, ASGR1, DEFB1, GHRL, COL22A1, OLFML3"
"8","gamma","gamma islet cell","[pancreatic PP cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002275)","PPY, AQP3, MEIS2, ID2, GPC5-AS1, CARTPT, PRSS23, ETV1, PPY2, TUBB2A"
"9","delta","delta islet cell","[pancreatic D cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000173)","SST, RBP4, SERPINA1, RGS2, PCSK1, SEC11C, HHEX, LEPR, MDK, LY6H"
"10","ductal","ductal","[pancreatic ductal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002079)","SPP1, MMP7, IGFBP7, KRT7, ANXA4, SERPINA1, LCN2, CFTR, KRT19, SERPING1"
"11","acinar","acinar","[pancreatic acinar cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002064)","REG1A, PRSS1, CTRB2, CTRB1, REG1B, CELA3A, PRSS2, REG3A, CPA1, CLPS"
"12","beta","beta islet cell","[type B pancreatic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000169)","IAPP, INS, DLK1, INS-IGF2, G6PC2, HADH, ADCYAP1, GSN, NPTX2, C12orf75"
"13","alpha","alpha islet cell","[pancreatic A cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000171)","GCG, TTR, PPP1R1A, CRYBA2, TM4SF4, MAFB, GC, GPX3, PCSK2, PEMT"
